id;calle_principal;dia;hora;plan;tiempo;velocidad;tiempo_entre_largo;DCA;nivel_congestion;infeccion;id_arco_id
1;Campo de Deportes;Monday;6:30;P8;59.06;20.8;173.2;0;2;0;1
2;Campo de Deportes;Monday;6:45;P8;68.18;18.01;199.9;9.9;3;0;1
3;Campo de Deportes;Monday;7:00;P31;68.14;18.02;199.8;9.8;3;0;1
4;Campo de Deportes;Monday;7:15;P31;62.93;19.51;184.6;0;2;0;1
5;Campo de Deportes;Monday;7:30;P1;NULL;NULL;NULL;NULL;;;1
6;Campo de Deportes;Monday;7:45;P1;NULL;NULL;NULL;NULL;;;1
7;Campo de Deportes;Monday;8:00;P1;NULL;NULL;NULL;NULL;;;1
8;Campo de Deportes;Monday;8:15;P1;NULL;NULL;NULL;NULL;;;1
9;Campo de Deportes;Monday;8:30;P1;NULL;NULL;NULL;NULL;;;1
10;Campo de Deportes;Monday;8:45;P1;NULL;NULL;NULL;NULL;;;1
11;Campo de Deportes;Monday;9:00;P2;NULL;NULL;NULL;NULL;;;1
12;Campo de Deportes;Monday;9:15;P2;NULL;NULL;NULL;NULL;;;1
13;Campo de Deportes;Monday;9:30;P2;NULL;NULL;NULL;NULL;;;1
14;Campo de Deportes;Monday;9:45;P2;NULL;NULL;NULL;NULL;;;1
15;Campo de Deportes;Monday;10:00;P31;69;17.79;202.3;12.3;3;0;1
16;Campo de Deportes;Monday;10:15;P31;53.83;22.8;157.9;0;2;0;1
17;Campo de Deportes;Monday;10:30;P31;66.56;18.44;195.2;5.2;3;0;1
18;Campo de Deportes;Monday;10:45;P31;73.4;16.72;215.2;25.2;3;0;1
19;Campo de Deportes;Monday;11:00;P31;73.43;16.72;215.3;25.3;3;0;1
20;Campo de Deportes;Monday;11:15;P31;62.88;19.52;184.4;0;2;0;1
21;Campo de Deportes;Monday;11:30;P31;67;18.32;196.5;6.5;3;0;1
22;Campo de Deportes;Monday;11:45;P31;62.47;19.65;183.2;0;2;0;1
23;Campo de Deportes;Monday;12:00;P31;67.15;18.28;196.9;6.9;3;0;1
24;Campo de Deportes;Monday;12:15;P31;72.59;16.91;212.9;22.9;3;0;1
25;Campo de Deportes;Monday;12:30;P31;64.2;19.12;188.3;0;2;0;1
26;Campo de Deportes;Monday;12:45;P31;67.21;18.26;197.1;7.1;3;0;1
27;Campo de Deportes;Monday;13:00;P31;78.57;15.62;230.4;40.4;3;0;1
28;Campo de Deportes;Monday;13:15;P31;72;17.05;211.1;21.1;3;0;1
29;Campo de Deportes;Monday;13:30;P31;77.6;15.82;227.6;37.6;3;0;1
30;Campo de Deportes;Monday;13:45;P31;64.53;19.02;189.2;0;2;0;1
31;Campo de Deportes;Monday;14:00;P31;53.67;22.87;157.4;0;2;0;1
32;Campo de Deportes;Monday;14:15;P31;59.6;20.6;174.8;0;2;0;1
33;Campo de Deportes;Monday;14:30;P31;68.93;17.81;202.1;12.1;3;0;1
34;Campo de Deportes;Monday;14:45;P31;67.71;18.13;198.6;8.6;3;0;1
35;Campo de Deportes;Monday;15:00;P31;55.64;22.06;163.2;0;2;0;1
36;Campo de Deportes;Monday;15:15;P31;66.14;18.56;194;4;3;0;1
37;Campo de Deportes;Monday;15:30;P31;65.88;18.63;193.2;3.2;3;0;1
38;Campo de Deportes;Monday;15:45;P31;71.67;17.13;210.2;20.2;3;0;1
39;Campo de Deportes;Monday;16:00;P31;59.38;20.67;174.1;0;2;0;1
40;Campo de Deportes;Monday;16:15;P31;60.94;20.14;178.7;0;2;0;1
41;Campo de Deportes;Monday;16:30;P31;73.69;16.66;216.1;26.1;3;0;1
42;Campo de Deportes;Monday;16:45;P31;71;17.29;208.2;18.2;3;0;1
43;Campo de Deportes;Monday;17:00;P4;70.93;17.31;208;18;3;0;1
44;Campo de Deportes;Monday;17:15;P4;63.5;19.33;186.2;0;2;0;1
45;Campo de Deportes;Monday;17:30;P4;61.07;20.1;179.1;0;2;0;1
46;Campo de Deportes;Monday;17:45;P4;65.21;18.82;191.2;1.2;3;0;1
47;Campo de Deportes;Monday;18:00;P4;68.09;18.03;199.7;9.7;3;0;1
48;Campo de Deportes;Monday;18:15;P4;77.42;15.86;227;37;3;0;1
49;Campo de Deportes;Monday;18:30;P4;65.36;18.78;191.7;1.7;3;0;1
50;Campo de Deportes;Monday;18:45;P4;73.62;16.68;215.9;25.9;3;0;1
51;Campo de Deportes;Monday;19:00;P5;79.08;15.52;231.9;41.9;3;0;1
52;Campo de Deportes;Monday;19:15;P5;85.92;14.29;252;62;4;2;1
53;Campo de Deportes;Monday;19:30;P5;78.17;15.7;229.2;39.2;3;1;1
54;Campo de Deportes;Monday;19:45;P5;65.73;18.68;192.7;2.7;3;1;1
55;Campo de Deportes;Monday;20:00;P5;65.23;18.82;191.3;1.3;3;1;1
56;Campo de Deportes;Monday;20:15;P5;58.83;20.87;172.5;0;2;1;1
57;Campo de Deportes;Monday;20:30;P5;60;20.46;176;0;2;1;1
58;Campo de Deportes;Monday;20:45;P5;54.08;22.7;158.6;0;2;1;1
59;Campo de Deportes;Monday;21:00;P6;56.87;21.59;166.8;0;2;1;1
60;Campo de Deportes;Monday;21:15;P6;55.67;22.05;163.2;0;2;1;1
61;Campo de Deportes;Monday;21:30;P6;52.38;23.43;153.6;0;2;1;1
62;Campo de Deportes;Monday;21:45;P6;54.4;22.57;159.5;0;2;1;1
63;Campo de Deportes;Tuesday;6:30;P8;65.53;18.73;192.2;2.2;3;0;1
64;Campo de Deportes;Tuesday;6:45;P8;66.2;18.54;194.1;4.1;3;0;1
65;Campo de Deportes;Tuesday;7:00;P31;56.73;21.64;166.4;0;2;0;1
66;Campo de Deportes;Tuesday;7:15;P31;64.67;18.98;189.6;0;2;0;1
67;Campo de Deportes;Tuesday;7:30;P1;NULL;NULL;NULL;NULL;;;1
68;Campo de Deportes;Tuesday;7:45;P1;NULL;NULL;NULL;NULL;;;1
69;Campo de Deportes;Tuesday;8:00;P1;NULL;NULL;NULL;NULL;;;1
70;Campo de Deportes;Tuesday;8:15;P1;NULL;NULL;NULL;NULL;;;1
71;Campo de Deportes;Tuesday;8:30;P1;NULL;NULL;NULL;NULL;;;1
72;Campo de Deportes;Tuesday;8:45;P1;NULL;NULL;NULL;NULL;;;1
73;Campo de Deportes;Tuesday;9:00;P2;NULL;NULL;NULL;NULL;;;1
74;Campo de Deportes;Tuesday;9:15;P2;NULL;NULL;NULL;NULL;;;1
75;Campo de Deportes;Tuesday;9:30;P2;NULL;NULL;NULL;NULL;;;1
76;Campo de Deportes;Tuesday;9:45;P2;NULL;NULL;NULL;NULL;;;1
77;Campo de Deportes;Tuesday;10:00;P31;67.35;18.23;197.5;7.5;3;0;1
78;Campo de Deportes;Tuesday;10:15;P31;66.15;18.56;194;4;3;0;1
79;Campo de Deportes;Tuesday;10:30;P31;62.2;19.74;182.4;0;2;0;1
80;Campo de Deportes;Tuesday;10:45;P31;64.81;18.94;190.1;0.1;3;0;1
81;Campo de Deportes;Tuesday;11:00;P31;60.87;20.17;178.5;0;2;0;1
82;Campo de Deportes;Tuesday;11:15;P31;63.85;19.23;187.2;0;2;0;1
83;Campo de Deportes;Tuesday;11:30;P31;58.16;21.11;170.6;0;2;0;1
84;Campo de Deportes;Tuesday;11:45;P31;60.43;20.31;177.2;0;2;0;1
85;Campo de Deportes;Tuesday;12:00;P31;66.21;18.54;194.2;4.2;3;0;1
86;Campo de Deportes;Tuesday;12:15;P31;77.87;15.77;228.3;38.3;3;0;1
87;Campo de Deportes;Tuesday;12:30;P31;74.73;16.43;219.2;29.2;3;0;1
88;Campo de Deportes;Tuesday;12:45;P31;76.37;16.07;224;34;3;0;1
89;Campo de Deportes;Tuesday;13:00;P31;66.85;18.36;196;6;3;0;1
90;Campo de Deportes;Tuesday;13:15;P31;66.87;18.36;196.1;6.1;3;0;1
91;Campo de Deportes;Tuesday;13:30;P31;69.17;17.75;202.8;12.8;3;0;1
92;Campo de Deportes;Tuesday;13:45;P31;73;16.82;214.1;24.1;3;0;1
93;Campo de Deportes;Tuesday;14:00;P31;61.47;19.97;180.3;0;2;0;1
94;Campo de Deportes;Tuesday;14:15;P31;66.18;18.55;194.1;4.1;3;0;1
95;Campo de Deportes;Tuesday;14:30;P31;68.67;17.88;201.4;11.4;3;0;1
96;Campo de Deportes;Tuesday;14:45;P31;61;20.12;178.9;0;2;0;1
97;Campo de Deportes;Tuesday;15:00;P31;65.75;18.67;192.8;2.8;3;0;1
98;Campo de Deportes;Tuesday;15:15;P31;60.67;20.24;177.9;0;2;0;1
99;Campo de Deportes;Tuesday;15:30;P31;75.5;16.26;221.4;31.4;3;0;1
100;Campo de Deportes;Tuesday;15:45;P31;78.21;15.7;229.4;39.4;3;0;1
101;Campo de Deportes;Tuesday;16:00;P31;73.53;16.69;215.6;25.6;3;0;1
102;Campo de Deportes;Tuesday;16:15;P31;76.33;16.08;223.9;33.9;3;0;1
103;Campo de Deportes;Tuesday;16:30;P31;69.88;17.57;204.9;14.9;3;0;1
104;Campo de Deportes;Tuesday;16:45;P31;71.29;17.22;209;19;3;0;1
105;Campo de Deportes;Tuesday;17:00;P4;73.87;16.62;216.6;26.6;3;0;1
106;Campo de Deportes;Tuesday;17:15;P4;66.27;18.53;194.3;4.3;3;0;1
107;Campo de Deportes;Tuesday;17:30;P4;65.87;18.64;193.2;3.2;3;0;1
108;Campo de Deportes;Tuesday;17:45;P4;62.31;19.7;182.7;0;2;0;1
109;Campo de Deportes;Tuesday;18:00;P4;64.93;18.91;190.4;0.4;3;0;1
110;Campo de Deportes;Tuesday;18:15;P4;70.12;17.51;205.6;15.6;3;0;1
111;Campo de Deportes;Tuesday;18:30;P4;70.29;17.47;206.1;16.1;3;0;1
112;Campo de Deportes;Tuesday;18:45;P4;85.81;14.31;251.6;61.6;4;2;1
113;Campo de Deportes;Tuesday;19:00;P5;82.79;14.83;242.8;52.8;4;2;1
114;Campo de Deportes;Tuesday;19:15;P5;88.14;13.93;258.5;68.5;4;2;1
115;Campo de Deportes;Tuesday;19:30;P5;75.2;16.32;220.5;30.5;3;1;1
116;Campo de Deportes;Tuesday;19:45;P5;79.2;15.5;232.3;42.3;3;1;1
117;Campo de Deportes;Tuesday;20:00;P5;68;18.05;199.4;9.4;3;1;1
118;Campo de Deportes;Tuesday;20:15;P5;61.6;19.93;180.6;0;2;1;1
119;Campo de Deportes;Tuesday;20:30;P5;57.86;21.22;169.7;0;2;1;1
120;Campo de Deportes;Tuesday;20:45;P5;58.12;21.12;170.5;0;2;1;1
121;Campo de Deportes;Tuesday;21:00;P6;58.43;21.01;171.3;0;2;1;1
122;Campo de Deportes;Tuesday;21:15;P6;54.93;22.35;161.1;0;2;1;1
123;Campo de Deportes;Tuesday;21:30;P6;56.79;21.62;166.5;0;2;1;1
124;Campo de Deportes;Tuesday;21:45;P6;54.78;22.41;160.6;0;2;1;1
125;Campo de Deportes;Wednesday;6:30;P8;65.58;18.72;192.3;2.3;3;0;1
126;Campo de Deportes;Wednesday;6:45;P8;65.36;18.78;191.7;1.7;3;0;1
127;Campo de Deportes;Wednesday;7:00;P31;67.5;18.19;197.9;7.9;3;0;1
128;Campo de Deportes;Wednesday;7:15;P31;89.15;13.77;261.4;71.4;4;2;1
129;Campo de Deportes;Wednesday;7:30;P1;NULL;NULL;NULL;NULL;;;1
130;Campo de Deportes;Wednesday;7:45;P1;NULL;NULL;NULL;NULL;;;1
131;Campo de Deportes;Wednesday;8:00;P1;NULL;NULL;NULL;NULL;;;1
132;Campo de Deportes;Wednesday;8:15;P1;NULL;NULL;NULL;NULL;;;1
133;Campo de Deportes;Wednesday;8:30;P1;NULL;NULL;NULL;NULL;;;1
134;Campo de Deportes;Wednesday;8:45;P1;NULL;NULL;NULL;NULL;;;1
135;Campo de Deportes;Wednesday;9:00;P2;NULL;NULL;NULL;NULL;;;1
136;Campo de Deportes;Wednesday;9:15;P2;NULL;NULL;NULL;NULL;;;1
137;Campo de Deportes;Wednesday;9:30;P2;NULL;NULL;NULL;NULL;;;1
138;Campo de Deportes;Wednesday;9:45;P2;NULL;NULL;NULL;NULL;;;1
139;Campo de Deportes;Wednesday;10:00;P31;61.91;19.83;181.6;0;2;1;1
140;Campo de Deportes;Wednesday;10:15;P31;66.92;18.34;196.3;6.3;3;1;1
141;Campo de Deportes;Wednesday;10:30;P31;58.69;20.92;172.1;0;2;1;1
142;Campo de Deportes;Wednesday;10:45;P31;55.78;22.01;163.6;0;2;1;1
143;Campo de Deportes;Wednesday;11:00;P31;68.75;17.86;201.6;11.6;3;1;1
144;Campo de Deportes;Wednesday;11:15;P31;62.25;19.72;182.6;0;2;1;1
145;Campo de Deportes;Wednesday;11:30;P31;65.2;18.83;191.2;1.2;3;1;1
146;Campo de Deportes;Wednesday;11:45;P31;70.36;17.45;206.3;16.3;3;1;1
147;Campo de Deportes;Wednesday;12:00;P31;59.45;20.65;174.4;0;2;1;1
148;Campo de Deportes;Wednesday;12:15;P31;82.17;14.94;241;51;4;2;1
149;Campo de Deportes;Wednesday;12:30;P31;72.25;16.99;211.9;21.9;3;1;1
150;Campo de Deportes;Wednesday;12:45;P31;64;19.18;187.7;0;2;1;1
151;Campo de Deportes;Wednesday;13:00;P31;68.55;17.91;201;11;3;1;1
152;Campo de Deportes;Wednesday;13:15;P31;69.83;17.58;204.8;14.8;3;1;1
153;Campo de Deportes;Wednesday;13:30;P31;83.67;14.67;245.4;55.4;4;2;1
154;Campo de Deportes;Wednesday;13:45;P31;67.18;18.27;197;7;3;1;1
155;Campo de Deportes;Wednesday;14:00;P31;68.33;17.96;200.4;10.4;3;1;1
156;Campo de Deportes;Wednesday;14:15;P31;67.92;18.08;199.2;9.2;3;1;1
157;Campo de Deportes;Wednesday;14:30;P31;61.93;19.82;181.6;0;2;1;1
158;Campo de Deportes;Wednesday;14:45;P31;66.69;18.41;195.6;5.6;3;1;1
159;Campo de Deportes;Wednesday;15:00;P31;61.4;19.99;180.1;0;2;1;1
160;Campo de Deportes;Wednesday;15:15;P31;59.45;20.65;174.4;0;2;1;1
161;Campo de Deportes;Wednesday;15:30;P31;68.33;17.96;200.4;10.4;3;1;1
162;Campo de Deportes;Wednesday;15:45;P31;75.93;16.17;222.7;32.7;3;1;1
163;Campo de Deportes;Wednesday;16:00;P31;73.83;16.63;216.5;26.5;3;1;1
164;Campo de Deportes;Wednesday;16:15;P31;83.3;14.74;244.3;54.3;4;2;1
165;Campo de Deportes;Wednesday;16:30;P31;61.77;19.87;181.1;0;2;1;1
166;Campo de Deportes;Wednesday;16:45;P31;72.15;17.01;211.6;21.6;3;1;1
167;Campo de Deportes;Wednesday;17:00;P4;75.92;16.17;222.6;32.6;3;1;1
168;Campo de Deportes;Wednesday;17:15;P4;62.8;19.55;184.2;0;2;1;1
169;Campo de Deportes;Wednesday;17:30;P4;62.5;19.64;183.3;0;2;1;1
170;Campo de Deportes;Wednesday;17:45;P4;77.31;15.88;226.7;36.7;3;1;1
171;Campo de Deportes;Wednesday;18:00;P4;73.9;16.61;216.7;26.7;3;1;1
172;Campo de Deportes;Wednesday;18:15;P4;82.31;14.91;241.4;51.4;4;2;1
173;Campo de Deportes;Wednesday;18:30;P4;92.18;13.32;270.3;80.3;4;2;1
174;Campo de Deportes;Wednesday;18:45;P4;85.18;14.41;249.8;59.8;4;2;1
175;Campo de Deportes;Wednesday;19:00;P5;103.92;11.81;304.8;114.8;5;2;1
176;Campo de Deportes;Wednesday;19:15;P5;95.46;12.86;279.9;89.9;4;2;1
177;Campo de Deportes;Wednesday;19:30;P5;90.46;13.57;265.3;75.3;4;2;1
178;Campo de Deportes;Wednesday;19:45;P5;84.8;14.48;248.7;58.7;4;2;1
179;Campo de Deportes;Wednesday;20:00;P5;89.25;13.75;261.7;71.7;4;2;1
180;Campo de Deportes;Wednesday;20:15;P5;85.86;14.3;251.8;61.8;4;2;1
181;Campo de Deportes;Wednesday;20:30;P5;95.11;12.91;278.9;88.9;4;2;1
182;Campo de Deportes;Wednesday;20:45;P5;84.6;14.51;248.1;58.1;4;2;1
183;Campo de Deportes;Wednesday;21:00;P6;62.67;19.59;183.8;0;2;1;1
184;Campo de Deportes;Wednesday;21:15;P6;52.29;23.48;153.3;0;2;1;1
185;Campo de Deportes;Wednesday;21:30;P6;55.5;22.12;162.8;0;2;1;1
186;Campo de Deportes;Wednesday;21:45;P6;58.75;20.9;172.3;0;2;1;1
187;Campo de Deportes;Thursday;6:30;P8;61;20.12;178.9;0;2;0;1
188;Campo de Deportes;Thursday;6:45;P8;66.22;18.54;194.2;4.2;3;0;1
189;Campo de Deportes;Thursday;7:00;P31;62.22;19.73;182.5;0;2;0;1
190;Campo de Deportes;Thursday;7:15;P31;57.87;21.21;169.7;0;2;0;1
191;Campo de Deportes;Thursday;7:30;P1;NULL;NULL;NULL;NULL;;;1
192;Campo de Deportes;Thursday;7:45;P1;NULL;NULL;NULL;NULL;;;1
193;Campo de Deportes;Thursday;8:00;P1;NULL;NULL;NULL;NULL;;;1
194;Campo de Deportes;Thursday;8:15;P1;NULL;NULL;NULL;NULL;;;1
195;Campo de Deportes;Thursday;8:30;P1;NULL;NULL;NULL;NULL;;;1
196;Campo de Deportes;Thursday;8:45;P1;NULL;NULL;NULL;NULL;;;1
197;Campo de Deportes;Thursday;9:00;P2;NULL;NULL;NULL;NULL;;;1
198;Campo de Deportes;Thursday;9:15;P2;NULL;NULL;NULL;NULL;;;1
199;Campo de Deportes;Thursday;9:30;P2;NULL;NULL;NULL;NULL;;;1
200;Campo de Deportes;Thursday;9:45;P2;NULL;NULL;NULL;NULL;;;1
201;Campo de Deportes;Thursday;10:00;P31;51.91;23.65;152.2;0;2;0;1
202;Campo de Deportes;Thursday;10:15;P31;60.36;20.34;177;0;2;0;1
203;Campo de Deportes;Thursday;10:30;P31;59.67;20.57;175;0;2;0;1
204;Campo de Deportes;Thursday;10:45;P31;62.3;19.7;182.7;0;2;0;1
205;Campo de Deportes;Thursday;11:00;P31;61.79;19.87;181.2;0;2;0;1
206;Campo de Deportes;Thursday;11:15;P31;63.4;19.36;185.9;0;2;0;1
207;Campo de Deportes;Thursday;11:30;P31;57.07;21.51;167.4;0;2;0;1
208;Campo de Deportes;Thursday;11:45;P31;60.64;20.25;177.8;0;2;0;1
209;Campo de Deportes;Thursday;12:00;P31;61.25;20.04;179.6;0;2;0;1
210;Campo de Deportes;Thursday;12:15;P31;65.5;18.74;192.1;2.1;3;0;1
211;Campo de Deportes;Thursday;12:30;P31;61.36;20.01;179.9;0;2;0;1
212;Campo de Deportes;Thursday;12:45;P31;64.75;18.96;189.9;0;2;0;1
213;Campo de Deportes;Thursday;13:00;P31;75.17;16.33;220.4;30.4;3;0;1
214;Campo de Deportes;Thursday;13:15;P31;71.83;17.09;210.7;20.7;3;0;1
215;Campo de Deportes;Thursday;13:30;P31;64.08;19.16;187.9;0;2;0;1
216;Campo de Deportes;Thursday;13:45;P31;58.69;20.92;172.1;0;2;0;1
217;Campo de Deportes;Thursday;14:00;P31;72.09;17.03;211.4;21.4;3;0;1
218;Campo de Deportes;Thursday;14:15;P31;67.8;18.11;198.8;8.8;3;0;1
219;Campo de Deportes;Thursday;14:30;P31;58.58;20.95;171.8;0;2;0;1
220;Campo de Deportes;Thursday;14:45;P31;59.53;20.62;174.6;0;2;0;1
221;Campo de Deportes;Thursday;15:00;P31;60.25;20.38;176.7;0;2;0;1
222;Campo de Deportes;Thursday;15:15;P31;54.44;22.55;159.7;0;2;0;1
223;Campo de Deportes;Thursday;15:30;P31;82.29;14.92;241.3;51.3;4;2;1
224;Campo de Deportes;Thursday;15:45;P31;75.08;16.35;220.2;30.2;3;1;1
225;Campo de Deportes;Thursday;16:00;P31;61.75;19.88;181.1;0;2;1;1
226;Campo de Deportes;Thursday;16:15;P31;55.92;21.95;164;0;2;1;1
227;Campo de Deportes;Thursday;16:30;P31;65.92;18.62;193.3;3.3;3;1;1
228;Campo de Deportes;Thursday;16:45;P31;71.17;17.25;208.7;18.7;3;1;1
229;Campo de Deportes;Thursday;17:00;P4;60.5;20.29;177.4;0;2;1;1
230;Campo de Deportes;Thursday;17:15;P4;57.75;21.26;169.4;0;2;1;1
231;Campo de Deportes;Thursday;17:30;P4;62.17;19.75;182.3;0;2;1;1
232;Campo de Deportes;Thursday;17:45;P4;69.4;17.69;203.5;13.5;3;1;1
233;Campo de Deportes;Thursday;18:00;P4;70.6;17.39;207;17;3;1;1
234;Campo de Deportes;Thursday;18:15;P4;67.9;18.08;199.1;9.1;3;1;1
235;Campo de Deportes;Thursday;18:30;P4;78;15.74;228.7;38.7;3;1;1
236;Campo de Deportes;Thursday;18:45;P4;73.09;16.8;214.3;24.3;3;1;1
237;Campo de Deportes;Thursday;19:00;P5;69.57;17.65;204;14;3;1;1
238;Campo de Deportes;Thursday;19:15;P5;73.78;16.64;216.4;26.4;3;1;1
239;Campo de Deportes;Thursday;19:30;P5;89.45;13.72;262.3;72.3;4;2;1
240;Campo de Deportes;Thursday;19:45;P5;79.5;15.44;233.1;43.1;3;1;1
241;Campo de Deportes;Thursday;20:00;P5;74.21;16.54;217.6;27.6;3;1;1
242;Campo de Deportes;Thursday;20:15;P5;64.67;18.98;189.6;0;2;1;1
243;Campo de Deportes;Thursday;20:30;P5;60.18;20.4;176.5;0;2;1;1
244;Campo de Deportes;Thursday;20:45;P5;57.23;21.45;167.8;0;2;1;1
245;Campo de Deportes;Thursday;21:00;P6;57;21.54;167.2;0;2;1;1
246;Campo de Deportes;Thursday;21:15;P6;57.23;21.45;167.8;0;2;1;1
247;Campo de Deportes;Thursday;21:30;P6;57.25;21.44;167.9;0;2;1;1
248;Campo de Deportes;Thursday;21:45;P6;53.27;23.04;156.2;0;2;1;1
249;Campo de Deportes;Friday;6:30;P8;56.83;21.6;166.7;0;2;0;1
250;Campo de Deportes;Friday;6:45;P8;74;16.59;217;27;3;0;1
251;Campo de Deportes;Friday;7:00;P31;67.31;18.24;197.4;7.4;3;0;1
252;Campo de Deportes;Friday;7:15;P31;62.69;19.58;183.8;0;2;0;1
253;Campo de Deportes;Friday;7:30;P1;NULL;NULL;NULL;NULL;;;1
254;Campo de Deportes;Friday;7:45;P1;NULL;NULL;NULL;NULL;;;1
255;Campo de Deportes;Friday;8:00;P1;NULL;NULL;NULL;NULL;;;1
256;Campo de Deportes;Friday;8:15;P1;NULL;NULL;NULL;NULL;;;1
257;Campo de Deportes;Friday;8:30;P1;NULL;NULL;NULL;NULL;;;1
258;Campo de Deportes;Friday;8:45;P1;NULL;NULL;NULL;NULL;;;1
259;Campo de Deportes;Friday;9:00;P2;NULL;NULL;NULL;NULL;;;1
260;Campo de Deportes;Friday;9:15;P2;NULL;NULL;NULL;NULL;;;1
261;Campo de Deportes;Friday;9:30;P2;NULL;NULL;NULL;NULL;;;1
262;Campo de Deportes;Friday;9:45;P2;NULL;NULL;NULL;NULL;;;1
263;Campo de Deportes;Friday;10:00;P31;54.92;22.35;161;0;2;0;1
264;Campo de Deportes;Friday;10:15;P31;54.58;22.49;160.1;0;2;0;1
265;Campo de Deportes;Friday;10:30;P31;50.09;24.51;146.9;0;2;0;1
266;Campo de Deportes;Friday;10:45;P31;52.71;23.29;154.6;0;2;0;1
267;Campo de Deportes;Friday;11:00;P31;60.18;20.4;176.5;0;2;0;1
268;Campo de Deportes;Friday;11:15;P31;57.67;21.29;169.1;0;2;0;1
269;Campo de Deportes;Friday;11:30;P31;63.27;19.4;185.6;0;2;0;1
270;Campo de Deportes;Friday;11:45;P31;62.75;19.56;184;0;2;0;1
271;Campo de Deportes;Friday;12:00;P31;58;21.17;170.1;0;2;0;1
272;Campo de Deportes;Friday;12:15;P31;70.69;17.37;207.3;17.3;3;0;1
273;Campo de Deportes;Friday;12:30;P31;70.69;17.37;207.3;17.3;3;0;1
274;Campo de Deportes;Friday;12:45;P31;67.2;18.27;197.1;7.1;3;0;1
275;Campo de Deportes;Friday;13:00;P31;66.92;18.35;196.2;6.2;3;0;1
276;Campo de Deportes;Friday;13:15;P31;76.45;16.06;224.2;34.2;3;0;1
277;Campo de Deportes;Friday;13:30;P31;84.58;14.51;248;58;4;2;1
278;Campo de Deportes;Friday;13:45;P31;73.69;16.66;216.1;26.1;3;1;1
279;Campo de Deportes;Friday;14:00;P31;83.15;14.76;243.9;53.9;4;2;1
280;Campo de Deportes;Friday;14:15;P31;76.33;16.08;223.9;33.9;3;1;1
281;Campo de Deportes;Friday;14:30;P31;75.53;16.25;221.5;31.5;3;1;1
282;Campo de Deportes;Friday;14:45;P31;70;17.54;205.3;15.3;3;1;1
283;Campo de Deportes;Friday;15:00;P31;80;15.35;234.6;44.6;3;1;1
284;Campo de Deportes;Friday;15:15;P31;68.82;17.84;201.8;11.8;3;1;1
285;Campo de Deportes;Friday;15:30;P31;78.58;15.62;230.4;40.4;3;1;1
286;Campo de Deportes;Friday;15:45;P31;88.23;13.91;258.7;68.7;4;2;1
287;Campo de Deportes;Friday;16:00;P31;93.82;13.08;275.1;85.1;4;2;1
288;Campo de Deportes;Friday;16:15;P31;86.77;14.15;254.5;64.5;4;2;1
289;Campo de Deportes;Friday;16:30;P31;78;15.74;228.7;38.7;3;1;1
290;Campo de Deportes;Friday;16:45;P31;75.2;16.32;220.5;30.5;3;1;1
291;Campo de Deportes;Friday;17:00;P4;87;14.11;255.1;65.1;4;2;1
292;Campo de Deportes;Friday;17:15;P4;72.57;16.92;212.8;22.8;3;1;1
293;Campo de Deportes;Friday;17:30;P4;70.9;17.31;207.9;17.9;3;1;1
294;Campo de Deportes;Friday;17:45;P4;68.08;18.03;199.6;9.6;3;1;1
295;Campo de Deportes;Friday;18:00;P4;62.69;19.58;183.8;0;2;1;1
296;Campo de Deportes;Friday;18:15;P4;72.6;16.91;212.9;22.9;3;1;1
297;Campo de Deportes;Friday;18:30;P4;92.67;13.25;271.7;81.7;4;2;1
298;Campo de Deportes;Friday;18:45;P4;86.69;14.16;254.2;64.2;4;2;1
299;Campo de Deportes;Friday;19:00;P5;75.85;16.19;222.4;32.4;3;1;1
300;Campo de Deportes;Friday;19:15;P5;83;14.79;243.4;53.4;4;2;1
301;Campo de Deportes;Friday;19:30;P5;83.64;14.68;245.3;55.3;4;2;1
302;Campo de Deportes;Friday;19:45;P5;93.09;13.19;273;83;4;2;1
303;Campo de Deportes;Friday;20:00;P5;76.79;15.99;225.2;35.2;3;1;1
304;Campo de Deportes;Friday;20:15;P5;63.92;19.2;187.5;0;2;1;1
305;Campo de Deportes;Friday;20:30;P5;60.9;20.16;178.6;0;2;1;1
306;Campo de Deportes;Friday;20:45;P5;57.45;21.37;168.5;0;2;1;1
307;Campo de Deportes;Friday;21:00;P6;55.87;21.97;163.8;0;2;1;1
308;Campo de Deportes;Friday;21:15;P6;55.22;22.23;161.9;0;2;1;1
309;Campo de Deportes;Friday;21:30;P6;61;20.12;178.9;0;2;1;1
310;Campo de Deportes;Friday;21:45;P6;60.29;20.36;176.8;0;2;1;1
311;Campo de Deportes;Saturday;6:30;P8;54.63;22.47;160.2;0;2;0;1
312;Campo de Deportes;Saturday;6:45;P8;56.14;21.87;164.6;0;2;0;1
313;Campo de Deportes;Saturday;7:00;P8;59.53;20.62;174.6;0;2;0;1
314;Campo de Deportes;Saturday;7:15;P8;63.86;19.22;187.3;0;2;0;1
315;Campo de Deportes;Saturday;7:30;P8;62.06;19.78;182;0;2;0;1
316;Campo de Deportes;Saturday;7:45;P8;62.15;19.75;182.3;0;2;0;1
317;Campo de Deportes;Saturday;8:00;P8;57.56;21.33;168.8;0;2;0;1
318;Campo de Deportes;Saturday;8:15;P8;57.69;21.28;169.2;0;2;0;1
319;Campo de Deportes;Saturday;8:30;P8;65.72;18.68;192.7;2.7;3;0;1
